,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2022-01-21,168.56720839305476,158.02388600326267,176.05195968424397,168.56720839305476,168.56720839305476,-1.3803023533539784,-1.3803023533539784,-1.3803023533539784,-1.3803023533539784,-1.3803023533539784,-1.3803023533539784,0.0,0.0,0.0,167.18690603970077
1,2022-01-24,167.89070561188865,157.10195746460053,174.6165278615238,167.89070561188865,167.89070561188865,-2.0168434891514693,-2.0168434891514693,-2.0168434891514693,-2.0168434891514693,-2.0168434891514693,-2.0168434891514693,0.0,0.0,0.0,165.8738621227372
2,2022-01-25,167.6652046848333,156.8062835852092,176.1564220998422,167.6652046848333,167.6652046848333,-1.1118323366430802,-1.1118323366430802,-1.1118323366430802,-1.1118323366430802,-1.1118323366430802,-1.1118323366430802,0.0,0.0,0.0,166.5533723481902
3,2022-01-27,167.21420283072254,156.8630080850829,174.20824609290986,167.21420283072254,167.21420283072254,-1.5674611702419092,-1.5674611702419092,-1.5674611702419092,-1.5674611702419092,-1.5674611702419092,-1.5674611702419092,0.0,0.0,0.0,165.64674166048064
4,2022-01-28,166.9887019036672,157.66298347776006,174.55103669912089,166.9887019036672,166.9887019036672,-1.3803023533499004,-1.3803023533499004,-1.3803023533499004,-1.3803023533499004,-1.3803023533499004,-1.3803023533499004,0.0,0.0,0.0,165.6083995503173
5,2022-01-31,166.31219912250106,155.58864491366134,172.65295639445338,166.31219912250106,166.31219912250106,-2.016843489154669,-2.016843489154669,-2.016843489154669,-2.016843489154669,-2.016843489154669,-2.016843489154669,0.0,0.0,0.0,164.2953556333464
6,2022-02-01,166.0866981954457,155.5691344375953,173.07234824453514,166.0866981954457,166.0866981954457,-1.1118323366423843,-1.1118323366423843,-1.1118323366423843,-1.1118323366423843,-1.1118323366423843,-1.1118323366423843,0.0,0.0,0.0,164.97486585880333
7,2022-02-02,165.86119726839033,155.20249936459723,173.4262576953121,165.86119726839033,165.86119726839033,-1.151640862492554,-1.151640862492554,-1.151640862492554,-1.151640862492554,-1.151640862492554,-1.151640862492554,0.0,0.0,0.0,164.70955640589779
8,2022-02-03,165.63569634133495,155.0637839382959,173.13098549455304,165.63569634133495,165.63569634133495,-1.5674611702439343,-1.5674611702439343,-1.5674611702439343,-1.5674611702439343,-1.5674611702439343,-1.5674611702439343,0.0,0.0,0.0,164.068235171091
9,2022-02-04,165.4101954101746,155.36095307982197,172.84296753749024,165.4101954101746,165.4101954101746,-1.380302353367035,-1.380302353367035,-1.380302353367035,-1.380302353367035,-1.380302353367035,-1.380302353367035,0.0,0.0,0.0,164.02989305680757
10,2022-02-07,164.7336926166935,154.17518388421013,171.17482177380575,164.7336926166935,164.7336926166935,-2.0168434891578686,-2.0168434891578686,-2.0168434891578686,-2.0168434891578686,-2.0168434891578686,-2.0168434891578686,0.0,0.0,0.0,162.71684912753562
11,2022-02-08,164.50819168553312,154.67344028149788,171.54424354308705,164.50819168553312,164.50819168553312,-1.111832336640769,-1.111832336640769,-1.111832336640769,-1.111832336640769,-1.111832336640769,-1.111832336640769,0.0,0.0,0.0,163.39635934889236
12,2022-02-09,164.28269075437274,153.85663935783654,171.95104953334337,164.28269075437274,164.28269075437274,-1.151640862491002,-1.151640862491002,-1.151640862491002,-1.151640862491002,-1.151640862491002,-1.151640862491002,0.0,0.0,0.0,163.13104989188173
13,2022-02-10,164.05718982321238,153.00032469153626,171.29524144588208,164.05718982321238,164.05718982321238,-1.5674611702356998,-1.5674611702356998,-1.5674611702356998,-1.5674611702356998,-1.5674611702356998,-1.5674611702356998,0.0,0.0,0.0,162.48972865297668
14,2022-02-11,163.831688892052,153.1676380380305,170.82774720272442,163.831688892052,163.831688892052,-1.3803023533580512,-1.3803023533580512,-1.3803023533580512,-1.3803023533580512,-1.3803023533580512,-1.3803023533580512,0.0,0.0,0.0,162.45138653869395
15,2022-02-14,163.1551860985709,152.14220157763214,169.99273433990138,163.1551860985709,163.1551860985709,-2.016843489161068,-2.016843489161068,-2.016843489161068,-2.016843489161068,-2.016843489161068,-2.016843489161068,0.0,0.0,0.0,161.13834260940985
16,2022-02-15,162.92968516741053,153.0665081702591,170.9104062876428,162.92968516741053,162.92968516741053,-1.1118323366468976,-1.1118323366468976,-1.1118323366468976,-1.1118323366468976,-1.1118323366468976,-1.1118323366468976,0.0,0.0,0.0,161.81785283076363
17,2022-02-16,162.70418423453046,152.51400858842268,170.44915568416994,162.70418423453046,162.70418423453046,-1.1516408624923402,-1.1516408624923402,-1.1516408624923402,-1.1516408624923402,-1.1516408624923402,-1.1516408624923402,0.0,0.0,0.0,161.55254337203812
18,2022-02-17,162.47868330165036,152.35462287895226,170.20926598921176,162.47868330165036,162.47868330165036,-1.567461170237725,-1.567461170237725,-1.567461170237725,-1.567461170237725,-1.567461170237725,-1.567461170237725,0.0,0.0,0.0,160.91122213141264
19,2022-02-18,162.2531823687703,151.51058097137678,169.46647915786937,162.2531823687703,162.2531823687703,-1.38030235335888,-1.38030235335888,-1.38030235335888,-1.38030235335888,-1.38030235335888,-1.38030235335888,0.0,0.0,0.0,160.87288001541143
20,2022-02-21,161.57667957013007,151.1599722097227,168.76020745229383,161.57667957013007,161.57667957013007,-2.0168434891611633,-2.0168434891611633,-2.0168434891611633,-2.0168434891611633,-2.0168434891611633,-2.0168434891611633,0.0,0.0,0.0,159.5598360809689
21,2022-02-22,161.35117863725,150.92074056395256,168.5854116283556,161.35117863725,161.35117863725,-1.1118323366452825,-1.1118323366452825,-1.1118323366452825,-1.1118323366452825,-1.1118323366452825,-1.1118323366452825,0.0,0.0,0.0,160.23934630060472
